id,scene,category,summary,detail,source_text,date,time,indexed_at
01KN2CRAG7KMRQXR1PC1R2YAM4,terence-house,description,Terence's house has reclaimed pine floors,The floors in Terence's house are reclaimed pine.,You're getting straw on my reclaimed pine floors.,,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PC293D5JY,terence-house,state,Terence collects 'expressions' (artistic sticks),"Terence collects what he calls 'expressions' -- notable sticks and branches displayed in cases. His latest acquisition is a white birch expression with a near-perfect 40-degree fork and what he considers a profoundly emotional grain pattern. He also has a sugar maple expression that took three seasons to develop its patina, with a certificate of provenance.","They're not sticks, Brad. They're expressions. That one took three seasons to develop its patina. I have a certificate of provenance for it.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PC340RD9J,terence-house,state,Terence writes a Substack about his house and wood,"Terence writes a Substack where he describes his timber selection philosophy using terms like 'narrative coherence.' The post about his build process has seven subscribers, which he considers traction.","what Terence described in his Substack as ""narrative coherence."" The post about the build process had seven subscribers, which was traction.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PC45MZBE5,terence-house,event,Brad arrives at Terence's house covered in straw,"Brad walks into Terence's house without knocking, covered in straw and breathing hard, trailing straw on the reclaimed pine floors.","Brad walked in without knocking. He was covered in straw and breathing hard, which Terence found rude on both counts.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PC84P1AM9,terence-house,event,Kevin arrives at Terence's house about twenty minutes later,"Kevin arrives roughly twenty minutes after Brad, dragging his tripod up the front path. He has changed into a new tank top reading 'WOLF MODE' in iron-on letters, one already peeling.","The tripod scraped up the front path about twenty minutes later. He'd changed tank tops. This one said ""WOLF MODE"" in iron-on letters, one of which was already peeling.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCBGKZYF6,terence-house,event,Kevin blows down Terence's timber house,"Kevin blows down Terence's timber house in a single breath. The front wall holds for about a second and a half before the tongue-and-groove joints start popping. The wall buckles outward in long planks, cedar shingles lift off in sheets, and the display case shatters. Kevin calls it 'round two' for Dana White.","The front wall held for about a second and a half, which Terence thought was respectable. Then the tongue-and-groove joints started popping like knuckles, one after another in a line, and the wall buckled outward and came apart in long planks.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCCCG3CDV,terence-house,event,Brad pulls Terence out of the collapsing house,"Terence stays inside the collapsing structure watching his walls separate, unable to look away. Brad pulls him out by the arm.",Brad pulled him out by the arm.,,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCFFT9501,terence-house,event,Terence's white birch expression rolls into a puddle,"The display case by the door tips forward and shatters during the collapse, and the white birch expression with the profoundly emotional grain pattern rolls into a puddle.","The display case by the door tipped forward and shattered, and the white birch expression with the profoundly emotional grain pattern rolled into a puddle.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCFXSS0KM,terence-house,event,Terence's sugar maple expression is buried under shingles,"After the collapse, Terence's sugar maple expression ends up under a pile of cedar shingles and the certificate of provenance is lost.",His sugar maple expression was under a pile of cedar shingles. The certificate of provenance was gone.,,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCK6KHXFW,terence-house,event,Kevin celebrates going two for two on camera,"After destroying Terence's house, Kevin celebrates at the camera, declaring 'TWO FOR TWO, DANA!' He rips off his tank top and flexes, with an iron-on letter stuck to his back fur.","TWO FOR TWO, DANA! Two for two! Different materials, same result. You can't train this. You're born with this. Big Bad, baby. BIG BAD.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCM7NNY80,terence-house,event,Brad and Terence head to Susan's place,"After the destruction, Brad suggests going to Susan's. Terence agrees and they leave together.","""We gotta go to Susan's,"" Brad said.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCNCTH7DG,terence-house,description,Kevin may have a shoulder injury,"Terence observes Kevin wince after throwing a right punch while shadowboxing, suggesting a shoulder issue. Kevin plays it off as a dramatic pause.","The right was slow and Terence could see him wince. Probably a shoulder thing, but Kevin played it off as a dramatic pause.",,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCPTYPQY6,terence-house,relationship,Terence is dismissive of Brad's straw house,Terence openly calls straw a 'garbage building material' and pointedly reminds Brad his TEDx talk only drew eleven people.,Because straw is a garbage building material.,,,2026-03-31T16:48:44Z
01KN2CRAG7KMRQXR1PCQT638HA,terence-house,relationship,Terence knows the real attendance of Brad's TEDx talk,"Terence corrects Brad's inflated attendance claim of fourteen down to eleven, indicating he either attended or knows Brad well enough to know the truth.",At the community center. To eleven people.,,,2026-03-31T16:48:44Z
01KN2CSZQTXV6MFGE8GXCBNM8Y,susan-house,description,Susan's house is built from twelve-inch brick on a poured concrete foundation,"Susan's house has twelve-inch brick walls on a poured concrete foundation, through-bolted to a steel frame she welded herself. It exceeds residential building code by a factor she doesn't disclose to her brothers. Rebar on twelve-inch centers.","Twelve-inch brick walls on a poured concrete foundation, through-bolted to a steel frame she'd welded herself. She'd built it to residential code and then exceeded that code by a factor she didn't disclose to her brothers because they'd call her paranoid.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8H180EVCR,susan-house,description,Susan's mortar is mixed for compressive strength,"Susan mixed her mortar herself using Portland cement, lime, and sand in a ratio calculated for compressive strength rather than aesthetics.","Portland cement, lime, and sand in a ratio she'd calculated for compressive strength, not aesthetics. She hadn't blogged about it. She hadn't given a talk about it. She'd just done the math and mixed the batch.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8H1FQ6QD3,susan-house,event,Susan reinforced her south wall after Kevin's social media post in April,"In April, Kevin posted a video of himself benchpressing a log with the caption 'DANA WHITE CALL ME.' Susan recognized the threat and reinforced her south wall that week with double-thick mortar joints and rebar on twelve-inch centers.","She'd been expecting this since April, when Kevin posted a video of himself benchpressing a log on social media with the caption ""DANA WHITE CALL ME."" She'd actually reinforced the south wall that week. Double-thick mortar joints. Rebar on twelve-inch centers.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8H56P0G05,susan-house,event,Brad and Terence arrive at Susan's house,Brad arrives in sandals covered in straw; Terence is clutching a bundle of twigs with a devastated expression. Susan immediately guesses Kevin is responsible.,Brad was in sandals and covered in straw. Terence was clutching a bundle of twigs wearing the expression of a man whose dog had just died.,,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8H690GE6B,susan-house,event,Kevin fails to blow down Susan's brick house,"Kevin attempts multiple times to blow down Susan's house. On each attempt, the house doesn't move -- only curtains shift and a leaf skitters across the step. His face goes from red to purple with a visible forehead vein. The mortar joints don't even vibrate.",The curtains moved. The house didn't. A leaf skittered across the front step.,,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8H910ZJX2,susan-house,event,Kevin physically attacks Susan's house with wrestling moves,"After failing to blow it down, Kevin charges the house at full sprint, attempts a double-leg takedown on the front wall, a rear naked choke on the drainpipe, a guillotine on the windowsill, and an armbar on the front step. Nothing moves.","He charged the house. Full sprint across the yard, dropped his shoulder, and attempted a double-leg takedown on the front wall. He wrapped both arms around the corner of the building and drove with his legs, grunting, his feet churning divots in the lawn.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HAW872V5,susan-house,event,"Kevin gives up and leaves, planning to re-edit his reel","Kevin sits in the yard defeated, decides to re-edit his reel using just the first two houses, noting straw was the money shot. He packs up his tripod (takes three tries because his arms are shaking) and walks off muttering about periodization and altitude training.","""I'm gonna re-edit the reel,"" he said to no one. ""Use just the first two. Straw was the money shot. Slow-mo would be epic.""",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HET5RWS5,susan-house,event,Kevin arrives about forty-five minutes after Brad and Terence,"Kevin arrives with his tripod roughly forty-five minutes after Susan's brothers, wearing a new hand-lettered tank top reading '100% LUPINE' with wristbands added.",The tripod arrived forty-five minutes later.,,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HJ37VA9Y,susan-house,state,"Kevin is cutting weight, down eight pounds","Kevin claims he is cutting weight, down about eight pounds this cycle, which he says affects oxygen capacity and means he's only at seventy to seventy-five percent output.","""I'm also cutting weight right now,"" Kevin told the camera. He was breathing hard. ""Down about eight pounds this cycle. That affects your oxygen capacity.""",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HK8C1G8J,susan-house,state,Susan was repointing mortar on her south wall,"Susan was doing maintenance work repointing the mortar on her south wall when her brothers arrived, and returns to finish it after Kevin leaves. She wants to complete two more rows before dark.",Susan was repointing the mortar on her south wall when she saw her brothers coming up the road.,,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HN91QZ8T,susan-house,relationship,Susan's brothers never listen to her about structural matters,Susan wanted to warn her brothers to reinforce their houses but neither of them has listened to her about anything structural in thirty-eight years.,"neither of them listened to her about anything structural, ever, not once, not in thirty-eight years.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HR7A66C9,susan-house,relationship,Brad and Terence are Susan's brothers,Brad and Terence are Susan's brothers. She has known them for at least thirty-eight years.,"neither of them listened to her about anything structural, ever, not once, not in thirty-eight years.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HVNHTND3,susan-house,description,Susan has a garden shed,Susan has a garden shed in her yard. A shingle on it shifted slightly during one of Kevin's blowing attempts.,A shingle on the garden shed shifted slightly. The house did nothing.,,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HX449YWK,susan-house,description,Kevin's third tank top reads '100% LUPINE',Kevin's third tank top is hand-lettered and reads '100% LUPINE' across the front. He has also added wristbands to his outfit.,"New tank top. This one was hand-lettered and said ""100% LUPINE"" across the front. He'd added wristbands.",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8HY6C4K36,susan-house,state,Susan is calm and unbothered throughout Kevin's assault,"Susan watches Kevin's increasingly desperate attempts from her front window while sipping coffee, displaying no anxiety. After Kevin leaves, she simply picks up her trowel to continue repointing.",Susan sipped her coffee.,,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8J260HHMG,susan-house,description,Susan's house has a continuous pour foundation,"When Terence asks, Susan confirms her foundation is a continuous pour rather than segmented.","""The foundation work. Is that a continuous pour or segmented?"" ""Continuous.""",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8J2MYH96S,susan-house,event,Kevin calls Susan's house the 'final boss',"Kevin addresses the camera calling the brick house the big one and final boss, claiming after this there is nothing left to prove.","""This is the big one. The final boss. After this, there is nothing left to prove. You are looking at the most dangerous set of lungs in the animal kingdom.""",,,2026-03-31T16:49:38Z
01KN2CSZQTXV6MFGE8J3B1T2KD,susan-house,event,Kevin makes excuses on camera for his failure,"Kevin offers multiple excuses to the camera: overtraining (three houses in one day), the house being over-engineered, and cutting weight affecting oxygen capacity. He says he should have periodized his approach.","""Okay. Full transparency, Dana. I've been overtraining. Three houses in one day. That's an insane workload. Any scout would tell you that's too much volume for a single session. I should have periodized this.""",,,2026-03-31T16:49:38Z
